home_id,device_name,energy_usage,household_size
340,Dishwasher,0.88,3
157,Heater,2.52,3
245,Lights,1.73,5
109,Fridge,0.28,2
81,Microwave,0.26,5
476,Computer,1.9,1
69,Lights,0.44,5
53,TV,0.64,2
416,Dishwasher,1.75,1
68,Dishwasher,0.63,4
45,Oven,1.6,3
209,Lights,1.99,5
151,Washing Machine,1.31,5
304,Washing Machine,0.87,1
329,Microwave,1.71,5
432,Fridge,0.11,4
153,Heater,4.83,4
232,Computer,0.37,3
191,Air Conditioning,2.27,3
320,Dishwasher,0.75,4
105,Washing Machine,0.85,4
183,Washing Machine,1.07,5
374,Microwave,0.65,5
454,TV,0.26,3
469,Dishwasher,0.43,3
463,Heater,4.0,4
197,Fridge,0.13,2
70,Washing Machine,1.27,5
241,Washing Machine,1.86,4
323,Washing Machine,1.7,2
117,Air Conditioning,3.65,4
327,Air Conditioning,2.83,1
271,Lights,1.13,3
52,Washing Machine,0.26,5
366,Dishwasher,0.58,1
200,TV,1.23,4
37,Dishwasher,1.37,4
445,Microwave,0.64,1
34,Air Conditioning,3.58,3
149,Computer,1.33,2
468,Microwave,1.3,3
98,Fridge,0.21,5
206,Dishwasher,0.91,3
315,TV,1.22,3
98,TV,0.5,4
50,Air Conditioning,3.34,5
108,Lights,1.92,5
402,Lights,0.76,2
220,Dishwasher,1.83,2
118,Washing Machine,0.72,1
274,Air Conditioning,4.63,1
3,Heater,4.02,4
180,Microwave,1.62,1
175,Microwave,1.87,5
244,Washing Machine,0.29,5
359,Air Conditioning,3.73,5
165,Microwave,1.95,4
99,Heater,3.67,5
70,Oven,0.42,1
209,Oven,1.14,4
409,Air Conditioning,2.85,1
327,Oven,1.57,5
425,Dishwasher,0.43,4
418,Dishwasher,1.1,1
405,Lights,0.81,1
215,Lights,1.37,2
267,Computer,0.42,5
100,Washing Machine,0.88,1
129,TV,1.59,2
455,Washing Machine,1.4,1
309,Heater,3.28,4
145,Oven,1.07,2
10,Air Conditioning,4.58,1
423,Microwave,1.03,3
438,Lights,0.64,2
440,Dishwasher,1.89,2
469,Computer,1.79,2
124,Oven,1.74,4
488,Air Conditioning,2.95,2
304,Dishwasher,1.29,4
182,Oven,0.34,3
35,TV,1.74,4
47,Fridge,0.48,4
343,Heater,4.48,2
469,Air Conditioning,4.44,3
67,Microwave,1.85,1
60,Dishwasher,0.26,4
2,Dishwasher,0.5,1
1,Washing Machine,1.65,4
389,Fridge,0.31,4
81,Heater,2.55,3
490,Heater,4.35,2
115,Dishwasher,1.96,3
243,Oven,0.94,4
332,Fridge,0.36,4
353,Air Conditioning,2.01,4
209,TV,1.37,3
468,Oven,0.86,2
488,Heater,2.45,4
168,Oven,0.55,2
460,Lights,0.39,4
23,Oven,0.82,1
353,Computer,0.62,2
179,TV,0.99,4
414,Air Conditioning,2.4,2
451,TV,1.57,3
482,Washing Machine,0.43,2
281,Washing Machine,1.05,4
15,Microwave,1.2,2
133,Heater,3.5,4
91,Washing Machine,1.01,2
275,Fridge,0.19,1
386,Fridge,0.13,2
39,TV,0.35,3
471,Dishwasher,1.74,4
224,TV,1.6,4
157,Washing Machine,1.02,1
487,Dishwasher,1.65,1
199,Air Conditioning,4.13,2
487,Washing Machine,0.62,5
78,Washing Machine,0.34,5
246,Washing Machine,1.35,4
163,Fridge,0.28,3
273,Dishwasher,1.21,5
241,Heater,2.64,1
144,TV,0.38,3
459,Oven,0.6,3
146,Washing Machine,0.51,1
129,Air Conditioning,3.94,5
335,Dishwasher,1.68,5
180,Heater,3.33,1
288,Oven,0.33,4
213,Fridge,0.32,5
190,Microwave,0.36,3
417,Dishwasher,1.47,5
112,Microwave,1.57,1
76,Oven,0.54,3
159,Microwave,1.32,3
152,Heater,4.39,4
248,Fridge,0.11,4
381,Microwave,0.54,5
410,Oven,1.61,4
277,Washing Machine,0.71,4
257,Dishwasher,0.89,4
295,Dishwasher,0.43,5
113,Lights,1.51,5
40,Computer,1.71,2
64,Lights,1.35,4
424,Lights,1.28,4
191,Dishwasher,0.86,1
187,Air Conditioning,4.51,1
60,Dishwasher,1.52,5
340,Heater,3.17,1
317,Microwave,1.63,3
275,Heater,3.18,1
304,Lights,1.64,3
418,Oven,0.21,2
477,Computer,1.53,3
261,Washing Machine,1.38,5
156,Heater,3.51,1
4,Microwave,1.73,3
430,Computer,0.24,5
311,Washing Machine,1.41,1
496,Fridge,0.29,3
15,Fridge,0.29,5
288,Lights,0.74,5
44,Oven,1.4,5
211,Washing Machine,0.74,2
225,Dishwasher,0.71,2
347,Dishwasher,0.47,3
337,TV,0.83,1
111,Computer,0.39,2
161,Washing Machine,1.21,5
237,Microwave,0.28,2
73,Computer,0.31,5
385,Washing Machine,1.26,2
181,Heater,4.57,5
215,Oven,0.22,2
99,Washing Machine,0.26,2
292,Heater,3.33,3
296,Fridge,0.48,2
472,Lights,1.03,3
102,Air Conditioning,3.54,1
323,TV,1.07,3
158,Microwave,1.04,2
406,Dishwasher,1.33,3
283,Dishwasher,0.22,2
108,Heater,2.91,5
253,TV,1.49,5
428,Computer,1.98,1
449,Air Conditioning,2.03,1
235,Oven,0.76,2
497,Washing Machine,1.17,2
37,TV,0.81,3
480,Air Conditioning,3.43,3
217,Oven,1.47,4
261,TV,1.66,5
500,Lights,0.72,4
10,Air Conditioning,4.48,4
164,Oven,1.2,1
88,Air Conditioning,2.41,2
381,Microwave,1.52,1
415,Air Conditioning,2.48,1
128,Lights,1.09,1
7,Microwave,1.69,3
291,Washing Machine,1.42,5
286,Air Conditioning,4.25,2
476,Computer,0.27,1
121,Microwave,0.4,4
7,Microwave,1.65,2
256,Dishwasher,1.59,5
81,Washing Machine,0.35,4
307,Fridge,0.25,1
107,Microwave,1.21,1
348,Microwave,1.47,3
456,Oven,0.32,4
149,Oven,0.36,3
241,Microwave,1.67,4
445,Air Conditioning,2.39,3
233,TV,1.46,3
181,Microwave,1.24,5
14,Oven,1.28,1
395,Fridge,0.23,2
23,Dishwasher,0.64,1
179,TV,1.08,2
484,Washing Machine,0.51,2
218,TV,1.63,4
115,Microwave,1.81,4
84,Computer,0.57,3
369,Dishwasher,0.21,4
317,Computer,1.69,4
387,Heater,4.27,3
441,Microwave,1.9,5
21,TV,1.21,4
457,Oven,1.94,1
385,TV,0.29,4
497,Microwave,0.81,5
411,Microwave,1.71,4
269,Air Conditioning,4.49,3
201,Microwave,1.62,2
414,Fridge,0.48,4
90,Computer,1.55,4
199,Washing Machine,1.19,5
194,TV,1.32,4
72,Dishwasher,1.55,1
249,Washing Machine,0.51,1
190,Fridge,0.19,4
478,TV,1.49,3
139,Heater,2.12,4
176,Microwave,1.84,2
484,Dishwasher,0.85,2
113,TV,1.29,5
52,Fridge,0.32,5
435,Dishwasher,1.29,3
55,Oven,0.56,4
426,Fridge,0.4,1
273,Washing Machine,1.93,4
419,Computer,1.54,1
223,Heater,4.96,2
2,Oven,1.56,1
64,Lights,1.51,1
462,Washing Machine,0.41,1
214,Heater,2.96,3
476,Washing Machine,1.72,3
231,Heater,4.88,3
209,Microwave,0.41,3
302,Air Conditioning,2.02,4
212,Oven,1.71,4
479,Lights,0.63,4
492,TV,1.16,1
174,Washing Machine,0.31,4
311,Lights,1.73,5
210,Dishwasher,0.75,2
23,Dishwasher,1.36,2
329,Air Conditioning,2.71,2
168,Air Conditioning,2.46,3
278,Fridge,0.37,2
158,Microwave,1.69,2
32,Oven,1.84,1
497,Computer,1.73,2
122,Oven,1.14,3
134,Lights,1.85,1
169,Oven,1.71,2
301,Washing Machine,0.22,3
25,Microwave,0.32,2
455,Fridge,0.32,2
269,Lights,0.46,2
65,Oven,2.0,4
445,TV,1.68,3
371,Heater,3.93,1
56,Oven,0.37,3
220,Lights,1.69,1
169,Dishwasher,1.53,1
211,Dishwasher,0.79,2
390,Oven,0.55,1
147,Fridge,0.19,1
475,Heater,3.75,4
256,Heater,3.3,3
261,Oven,0.76,1
85,Heater,3.57,4
380,Washing Machine,0.5,3
230,Washing Machine,0.79,4
499,Air Conditioning,4.91,1
155,Air Conditioning,2.55,4
464,Dishwasher,1.93,3
212,Washing Machine,1.56,3
340,Oven,1.42,5
491,TV,0.61,5
54,Lights,1.56,2
59,Oven,0.44,2
323,Computer,0.3,3
130,Washing Machine,1.12,5
341,TV,1.49,3
497,Heater,2.14,2
107,Microwave,0.7,4
162,Computer,1.64,2
474,Lights,1.84,2
331,Fridge,0.29,2
144,Computer,1.71,4
73,Air Conditioning,2.91,4
457,Microwave,0.75,3
85,Oven,0.89,4
365,Heater,3.12,2
35,Lights,1.6,2
339,Washing Machine,0.74,4
98,Washing Machine,1.71,1
415,Lights,0.81,5
353,Microwave,1.51,1
368,Heater,3.22,3
401,Heater,4.95,3
78,Air Conditioning,4.5,1
255,TV,0.57,1
470,Oven,0.21,2
176,Dishwasher,0.81,1
133,Air Conditioning,3.51,3
236,Lights,1.57,5
422,Heater,2.94,1
10,Oven,1.36,4
215,Fridge,0.16,2
105,TV,0.98,2
7,Microwave,0.93,3
191,Oven,1.79,2
382,Washing Machine,1.27,4
155,Heater,5.0,5
190,Computer,1.27,2
156,Washing Machine,1.99,2
180,Air Conditioning,4.77,2
345,Washing Machine,1.48,3
267,Lights,1.96,4
363,TV,1.44,1
190,Air Conditioning,3.76,1
244,Heater,2.02,1
256,Heater,4.5,5
463,Microwave,0.84,2
217,Air Conditioning,4.67,2
11,Computer,1.61,4
469,Heater,2.32,1
336,Lights,1.52,4
452,Microwave,0.52,3
393,Microwave,1.11,4
373,Lights,0.26,1
389,Fridge,0.49,4
45,Dishwasher,0.93,4
70,Computer,0.34,1
163,Lights,1.37,3
205,Dishwasher,0.4,4
178,Heater,4.24,1
176,Computer,0.29,5
140,Oven,0.54,2
378,Computer,1.8,4
259,Microwave,1.22,3
157,Dishwasher,1.23,1
407,Computer,1.17,1
166,Computer,1.73,2
409,Lights,0.92,3
238,Washing Machine,1.52,1
84,Heater,2.83,1
294,Lights,1.52,5
46,Air Conditioning,3.42,2
317,Oven,0.25,2
424,Computer,0.53,4
45,Heater,4.65,4
69,TV,1.42,2
297,Computer,0.39,2
144,Dishwasher,1.35,4
378,Dishwasher,0.35,1
121,Fridge,0.47,2
92,Lights,1.0,1
471,Fridge,0.14,2
108,Heater,3.55,5
194,Dishwasher,0.44,2
284,TV,0.82,2
215,Fridge,0.26,3
391,Fridge,0.29,2
477,Heater,4.92,5
345,Microwave,1.13,1
169,Heater,2.44,2
438,Heater,2.74,3
385,Heater,4.89,3
29,Washing Machine,0.7,3
87,Microwave,0.45,5
362,Washing Machine,0.24,1
107,Air Conditioning,4.36,2
371,TV,1.74,2
94,Washing Machine,1.17,1
280,Washing Machine,0.94,2
20,Lights,0.89,3
44,Air Conditioning,4.67,1
192,Air Conditioning,4.57,1
445,Oven,1.08,5
46,Dishwasher,1.35,5
300,Fridge,0.28,2
370,Fridge,0.31,5
350,TV,0.6,1
380,Washing Machine,1.94,2
446,Air Conditioning,3.09,3
376,Fridge,0.28,2
41,Fridge,0.31,1
239,Microwave,0.93,1
151,Lights,0.25,5
66,Air Conditioning,4.11,1
421,Dishwasher,0.43,4
414,Oven,0.82,4
215,Air Conditioning,2.51,5
147,Fridge,0.38,5
349,Heater,4.75,4
6,Microwave,0.78,3
308,Microwave,0.77,2
43,TV,1.11,4
293,Washing Machine,1.31,3
290,Air Conditioning,3.51,4
500,Dishwasher,0.29,5
236,Lights,0.72,3
151,Lights,1.6,2
483,Computer,0.5,3
331,Washing Machine,1.96,2
412,TV,1.44,2
18,Fridge,0.18,3
198,Oven,0.26,1
141,TV,1.42,2
151,Oven,1.38,2
84,Microwave,1.55,3
147,Fridge,0.31,3
19,Computer,0.25,5
76,Air Conditioning,3.25,1
118,Heater,4.07,3
468,Microwave,1.46,2
62,Lights,1.67,3
207,Lights,1.1,3
454,Dishwasher,1.16,5
485,Lights,0.6,3
423,Dishwasher,0.62,4
300,Oven,1.54,5
298,Microwave,1.75,1
458,Air Conditioning,3.58,2
239,Lights,0.88,5
396,Air Conditioning,3.18,5
375,Dishwasher,1.89,1
214,Lights,0.81,2
253,Fridge,0.13,2
199,Lights,0.77,3
51,Dishwasher,0.95,5
61,Washing Machine,0.24,5
131,TV,1.94,3
344,Dishwasher,0.47,5
306,Lights,1.97,4
494,Air Conditioning,4.36,3
91,TV,1.32,3
216,Microwave,0.54,1
129,Computer,0.76,4
489,Computer,0.72,2
367,Air Conditioning,2.61,5
330,Heater,4.93,4
270,Dishwasher,0.98,4
422,Oven,0.73,4
427,Oven,1.98,5
326,Washing Machine,1.25,5
51,Microwave,0.97,1
451,Microwave,0.8,5
174,Fridge,0.38,3
54,Oven,0.48,4
218,Lights,1.64,5
137,Air Conditioning,4.03,5
489,Air Conditioning,4.05,3
363,Dishwasher,0.44,5
408,Heater,2.52,4
246,Washing Machine,1.3,1
341,Computer,0.75,3
250,Fridge,0.12,1
15,Heater,2.59,2
239,Lights,1.34,5
170,Fridge,0.46,5
278,Air Conditioning,3.29,1
27,Microwave,0.46,3
355,Microwave,1.82,2
79,Washing Machine,1.6,3
369,Heater,3.69,1
295,Microwave,0.63,3
133,Heater,3.15,2
78,Oven,1.45,5
420,TV,0.24,4
186,Oven,0.94,5
194,Oven,1.82,2
225,Microwave,1.9,5
372,Air Conditioning,3.02,1
156,Microwave,1.63,4
311,Air Conditioning,3.62,1
473,Washing Machine,1.32,2
140,Dishwasher,1.75,2
213,Heater,3.14,4
42,Air Conditioning,2.04,3
140,Dishwasher,1.79,3
139,Air Conditioning,4.91,3
205,Air Conditioning,4.34,2
251,Air Conditioning,3.59,5
209,Microwave,1.41,3
239,Lights,1.95,4
302,Computer,0.89,5
266,Microwave,1.47,3
204,Microwave,1.54,1
104,Fridge,0.39,2
148,Computer,1.78,3
348,Heater,2.34,5
118,Microwave,1.61,1
71,Fridge,0.25,1
100,Fridge,0.15,2
204,TV,0.28,5
398,Washing Machine,0.2,1
413,Heater,3.74,4
358,TV,1.72,3
351,Computer,1.36,2
59,Dishwasher,0.64,5
4,Microwave,0.64,3
245,Washing Machine,0.99,5
474,Washing Machine,1.77,2
324,Washing Machine,0.81,3
130,Fridge,0.37,2
155,TV,1.84,2
311,Dishwasher,1.88,4
335,Washing Machine,1.5,1
85,Heater,2.29,3
207,Dishwasher,1.7,1
379,Heater,2.11,2
142,Computer,1.72,3
269,Dishwasher,0.41,3
470,Fridge,0.5,1
372,Dishwasher,0.93,1
379,Heater,4.12,2
101,TV,1.83,5
393,Oven,1.66,5
101,Air Conditioning,3.95,1
377,Oven,0.48,5
176,Air Conditioning,2.19,1
493,Lights,0.97,3
487,Dishwasher,1.56,2
437,Air Conditioning,4.19,4
257,Fridge,0.2,4
55,Lights,0.72,4
105,Microwave,1.52,1
426,Washing Machine,0.35,5
150,Oven,0.74,5
18,Washing Machine,1.36,5
477,Computer,0.7,1
377,Air Conditioning,3.69,3
493,Fridge,0.47,5
255,Washing Machine,1.47,4
37,Dishwasher,1.88,3
397,Air Conditioning,4.0,3
379,Washing Machine,1.48,1
293,Air Conditioning,3.07,1
129,Dishwasher,0.27,5
91,Washing Machine,1.62,2
443,Microwave,0.75,4
482,Computer,1.7,4
8,Heater,4.88,2
301,Dishwasher,1.67,2
324,Heater,4.47,1
211,Lights,0.41,3
289,Air Conditioning,4.16,4
211,TV,0.35,2
85,TV,0.97,2
290,Computer,1.11,4
24,Dishwasher,1.58,5
316,Heater,2.11,4
64,Dishwasher,1.53,1
420,Oven,0.75,2
379,Air Conditioning,3.84,2
231,Oven,1.57,1
344,Air Conditioning,2.47,1
405,Fridge,0.5,5
306,Dishwasher,0.34,2
417,Washing Machine,0.85,4
434,TV,0.83,5
8,Fridge,0.23,5
182,Dishwasher,1.34,2
180,Microwave,1.88,4
35,Air Conditioning,2.62,2
102,Microwave,0.2,2
258,Fridge,0.35,3
237,Lights,0.82,2
368,Fridge,0.19,5
106,Lights,0.94,5
244,Oven,1.13,4
35,Washing Machine,1.15,2
387,Microwave,1.58,5
451,TV,0.78,2
353,Fridge,0.42,1
316,Fridge,0.25,5
491,Fridge,0.26,1
378,Computer,1.77,3
400,Microwave,0.55,4
344,Heater,3.16,2
271,Fridge,0.44,1
435,Microwave,0.76,1
135,Lights,1.53,3
189,Fridge,0.21,4
359,Lights,1.9,4
440,Dishwasher,0.92,1
22,Microwave,1.78,4
205,TV,1.97,4
140,Microwave,1.03,4
176,Air Conditioning,3.88,5
77,Computer,1.24,5
16,Oven,1.18,1
122,Oven,1.17,3
149,Fridge,0.13,4
412,Microwave,0.89,4
116,Washing Machine,1.67,2
239,Washing Machine,1.56,3
121,Heater,3.11,3
380,Heater,3.64,1
10,TV,1.86,1
64,Dishwasher,0.23,3
66,Washing Machine,0.24,2
28,Microwave,1.5,4
220,Air Conditioning,2.34,4
454,Lights,1.72,2
100,TV,1.5,5
164,Oven,0.32,3
27,Washing Machine,1.76,3
113,Lights,0.51,1
255,Microwave,0.53,4
314,Lights,1.1,3
77,Air Conditioning,3.14,3
409,Oven,1.53,3
302,Oven,1.54,3
270,Washing Machine,0.26,5
456,Washing Machine,1.86,5
445,Lights,1.86,4
475,Heater,3.82,5
472,Oven,1.57,4
342,Washing Machine,1.67,4
278,Microwave,0.53,1
12,Lights,1.79,2
207,Microwave,0.86,5
211,Washing Machine,1.2,1
244,Microwave,0.61,4
316,Fridge,0.24,2
389,Dishwasher,0.34,3
92,Fridge,0.43,2
493,TV,0.4,3
188,Microwave,1.39,5
166,Computer,1.31,5
134,Oven,1.9,1
360,Air Conditioning,3.95,4
227,Oven,1.59,5
310,TV,0.63,2
168,Oven,1.45,4
281,Microwave,1.88,5
458,TV,1.71,4
241,Dishwasher,1.13,5
234,Microwave,0.26,5
444,Computer,0.27,1
59,Air Conditioning,4.53,1
227,Microwave,0.34,5
25,Lights,0.42,1
196,Air Conditioning,4.0,5
378,Air Conditioning,3.92,4
82,Computer,1.25,3
386,Microwave,1.22,4
332,Heater,4.45,4
124,Computer,1.42,5
454,Fridge,0.15,2
344,TV,1.69,1
172,Air Conditioning,3.16,2
165,Microwave,0.28,3
23,Oven,1.68,5
331,Fridge,0.15,5
245,Fridge,0.2,4
339,Computer,0.43,3
58,Dishwasher,1.34,1
270,Air Conditioning,3.13,2
476,Lights,0.93,2
71,Washing Machine,0.53,1
298,TV,1.24,2
497,Washing Machine,0.44,5
482,Washing Machine,1.47,5
141,Microwave,1.32,3
372,Fridge,0.14,5
189,Dishwasher,0.42,5
476,Fridge,0.17,3
448,Computer,0.76,4
346,Lights,0.27,5
172,TV,0.4,5
168,Lights,0.98,3
109,Microwave,1.66,4
191,Lights,0.59,1
307,Computer,0.62,5
355,Computer,0.48,4
84,Microwave,1.16,3
22,Microwave,1.74,2
69,Dishwasher,0.74,1
382,Oven,1.91,5
268,Fridge,0.46,4
129,Air Conditioning,4.61,3
78,Oven,0.77,4
57,Lights,1.18,3
65,Washing Machine,0.33,3
136,Oven,1.5,2
119,TV,1.14,3
136,Microwave,0.42,5
66,Computer,0.99,1
184,Air Conditioning,3.63,1
8,Dishwasher,1.25,4
151,Air Conditioning,4.7,3
109,Washing Machine,1.06,5
24,Washing Machine,0.98,2
391,TV,1.48,5
462,Air Conditioning,2.37,5
121,Fridge,0.49,5
138,Microwave,1.31,5
377,Washing Machine,1.5,3
256,Air Conditioning,2.67,2
478,Air Conditioning,2.35,1
185,TV,1.09,3
296,Washing Machine,0.97,2
70,Lights,1.54,4
155,Computer,1.83,4
474,Dishwasher,0.79,5
217,Lights,0.87,5
171,Computer,0.46,5
167,Microwave,1.51,4
161,Microwave,0.84,4
432,Washing Machine,1.66,5
366,Fridge,0.44,1
138,Fridge,0.31,3
474,Lights,1.95,4
78,Computer,0.3,4
410,Heater,3.94,4
342,Heater,4.21,2
195,Microwave,0.48,4
54,Computer,0.98,3
279,Dishwasher,1.0,1
329,Heater,4.0,5
246,Air Conditioning,2.92,5
146,Computer,0.24,1
113,Dishwasher,1.78,1
370,Washing Machine,0.69,1
260,Computer,1.86,2
422,Lights,0.29,4
42,Heater,3.26,4
126,Computer,0.39,5
37,Oven,0.71,5
340,Fridge,0.35,1
44,Computer,1.92,2
285,Fridge,0.15,2
306,Heater,4.07,2
465,Fridge,0.12,5
128,Microwave,1.49,2
436,Washing Machine,0.87,2
340,Fridge,0.34,3
476,Microwave,0.31,2
457,Computer,0.22,4
257,Heater,4.48,2
87,Dishwasher,1.56,2
240,Washing Machine,0.33,1
264,Heater,4.31,4
335,Oven,0.57,5
14,Air Conditioning,3.66,4
53,Lights,0.41,5
41,Computer,1.43,5
316,Dishwasher,1.13,2
302,Computer,0.5,2
43,TV,1.99,4
341,Dishwasher,1.53,5
232,Fridge,0.13,4
490,Air Conditioning,2.6,4
452,Washing Machine,1.76,3
208,Dishwasher,0.98,4
115,Washing Machine,0.49,1
437,TV,1.68,2
213,Computer,1.87,3
394,TV,1.43,1
9,Fridge,0.46,4
480,Fridge,0.29,3
236,Oven,1.44,2
457,Washing Machine,0.79,5
61,TV,1.14,2
442,Lights,0.91,4
239,Oven,0.46,3
462,Washing Machine,0.7,5
48,Washing Machine,1.96,5
121,Oven,0.67,5
493,Air Conditioning,2.51,1
333,Washing Machine,0.92,5
301,TV,1.25,3
179,Lights,0.2,5
198,TV,1.51,5
27,Fridge,0.14,5
19,Microwave,0.6,1
231,Computer,1.28,2
366,Washing Machine,1.02,4
408,Dishwasher,0.86,3
9,TV,1.68,3
401,Computer,0.66,4
381,Oven,0.61,5
331,Oven,1.24,2
21,Washing Machine,0.9,3
386,Fridge,0.34,1
258,Computer,1.32,4
43,Heater,3.37,3
145,Microwave,0.71,4
152,Oven,0.36,1
23,Heater,2.74,4
74,Dishwasher,1.75,3
178,Air Conditioning,4.01,1
365,Lights,1.99,5
273,Air Conditioning,3.49,1
203,Oven,0.48,5
327,Dishwasher,1.02,4
489,Microwave,1.11,1
369,Dishwasher,0.87,2
123,Oven,1.46,5
424,Fridge,0.19,1
1,Oven,1.66,2
409,Lights,0.39,3
334,TV,0.66,4
282,Air Conditioning,4.07,2
12,Heater,2.01,5
111,Heater,3.11,2
64,Air Conditioning,3.9,3
85,Microwave,1.84,3
311,Lights,1.69,5
287,Lights,0.65,2
143,TV,1.24,3
202,Lights,0.27,3
96,TV,0.35,4
123,Washing Machine,0.3,3
336,Washing Machine,0.76,5
398,Computer,1.02,3
198,Dishwasher,0.83,4
458,Washing Machine,0.23,5
291,TV,0.83,2
322,Washing Machine,1.75,2
266,Heater,4.42,2
79,TV,1.19,5
129,Air Conditioning,3.65,4
91,TV,1.71,2
377,Oven,1.26,5
273,Fridge,0.36,4
461,Air Conditioning,3.84,5
125,Heater,4.46,5
380,Washing Machine,0.28,2
112,Heater,2.46,1
19,Fridge,0.16,4
